the_geom,BIN,CNSTRCT_YR,NAME,LSTMODDATE,LSTSTATYPE,DOITT_ID,HEIGHTROOF,FEAT_CODE,GROUNDELEV,SHAPE_AREA,SHAPE_LEN,BASE_BBL,MPLUTO_BBL,GEOMSOURCE
"MULTIPOLYGON (((-73.78766759675258 40.69066731768097, -73.7876741041594 40.69067158552507, -73.7876396525055 40.69070201882405, -73.78765281489441 40.690710652043, -73.78762479939613 40.690735400550366, -73.78751791956068 40.69066529892038, -73.78751441257981 40.69066839652312, -73.78748432532987 40.69064866199413, -73.7875543700026 40.69058678720657, -73.78757941850233 40.69060321652891, -73.78757534680798 40.6906068119769, -73.78766759675258 40.69066731768097)))",4264017,1940,,08/22/2017 12:00:00 AM +0000,Constructed,207392,30.21,2100,33,1292.36710358701,159.79490740948,4121820105,4121820105,Photogramm
"MULTIPOLYGON (((-73.97270370980918 40.6124254670474, -73.97288744150738 40.61240659958657, -73.9728946861985 40.61244757140759, -73.97271095438921 40.61246643978045, -73.97270370980918 40.6124254670474)))",3173529,1930,,08/22/2017 12:00:00 AM +0000,Constructed,806639,29.59,2100,29,775.29966563368,133.07090700503,3065830040,3065830040,Photogramm
"MULTIPOLYGON (((-73.99044253858914 40.596628194348206, -73.99048685009325 40.59658592749529, -73.99065931631867 40.59669098489945, -73.990615004854 40.59673325181847, -73.99044253858914 40.596628194348206)))",3186087,1925,,08/22/2017 12:00:00 AM +0000,Constructed,281724,23.09,2100,11,1208.54609169118,162.04484571387,3068770041,3068770041,Photogramm
"MULTIPOLYGON (((-73.80884551607986 40.78329985490109, -73.80884019809838 40.78334437328414, -73.80860650304001 40.78332823649455, -73.808612702414 40.78327636157022, -73.80884639610706 40.783292498345446, -73.80884551607986 40.78329985490109)))",4106740,1930,,08/22/2017 12:00:00 AM +0000,Constructed,167671,24.33,2100,52,1233.24687528083,167.92417606008,4047030042,4047030042,Photogramm
"MULTIPOLYGON (((-73.9860843360425 40.61169531428147, -73.98606676010392 40.61171254632766, -73.98594045560408 40.61183637963212, -73.98588395479769 40.61180291023919, -73.98602783528332 40.611661844958775, -73.98606271330956 40.611682505349236, -73.9860843360425 40.61169531428147)))",3157495,1930,,08/22/2017 12:00:00 AM +0000,Constructed,361273,28.4,2100,33,1293.3486114608,169.92523805917,3061750018,3061750018,Photogramm
"MULTIPOLYGON (((-73.85505906410282 40.73831301183064, -73.85506068504026 40.738310207885625, -73.85506155135965 40.738308710529445, -73.85502792587467 40.738297464976895, -73.85505136412016 40.73825691485594, -73.85521585255287 40.738311923125416, -73.85524654650781 40.73832218698595, -73.8552477674039 40.73832259555042, -73.85522184200457 40.73836744791617, -73.85505906410282 40.73831301183064)))",4048166,1910,,08/22/2017 12:00:00 AM +0000,Constructed,608213,19.23,2100,25,1043.89363400022,154.61283403724,4019570008,4019570008,Photogramm
"MULTIPOLYGON (((-73.82325801971075 40.73026586689143, -73.82329384125639 40.73025519588972, -73.82328626871349 40.7302404852392, -73.82331063308882 40.730233226692775, -73.82333819341272 40.73028676469351, -73.82336551353413 40.73033983495387, -73.8233334237401 40.73034939416997, -73.8233395854265 40.730361365101345, -73.82334944743376 40.730380522378056, -73.82332135003715 40.73038889273826, -73.82330972856535 40.73036631712389, -73.82328046293874 40.73030946532351, -73.82325801971075 40.73026586689143)))",4143774,1940,,08/22/2017 12:00:00 AM +0000,Constructed,22980,25.24,2100,77,787.74779326342,143.61333205123,4066410052,4066410052,Photogramm
"MULTIPOLYGON (((-73.97142914010746 40.786942058614, -73.97152216031556 40.78681508667313, -73.97154907242742 40.786778351075064, -73.97157705374907 40.786790194165434, -73.97156643211486 40.78680469231424, -73.97160303339143 40.786820182752926, -73.97149372281012 40.786969391305746, -73.97142914010746 40.786942058614)))",1031434,1910,,08/22/2017 12:00:00 AM +0000,Constructed,798485,67.65,2100,101,1327.27594825356,177.47432238362,1012000063,1012000063,Photogramm
"MULTIPOLYGON (((-73.98748537734699 40.62091985576925, -73.98738071509861 40.621023652714356, -73.98733515521269 40.62099697969401, -73.98743981867192 40.62089318279023, -73.98748537734699 40.62091985576925)))",3132468,1930,,08/22/2017 12:00:00 AM +0000,Constructed,145794,22.94,2100,46,760.63572287482,127.27815867661,3055260014,3055260014,Photogramm
"MULTIPOLYGON (((-73.83914026858109 40.89435609647597, -73.83931224098677 40.89431921165281, -73.83933218540412 40.89437275619578, -73.83916919950738 40.894407714822805, -73.83911172371175 40.894420042527635, -73.83909177827329 40.894366497044935, -73.83914026858109 40.89435609647597)))",2069463,1935,,08/22/2017 12:00:00 AM +0000,Constructed,304517,29.03,2100,145,1284.08933405578,167.22541940693,2050280034,2050280034,Photogramm
